id,text,category
1086478:0,"The food here is rather good, but only if you like to wait for it.",FOOD#QUALITY
1086478:0,"The food here is rather good, but only if you like to wait for it.",SERVICE#GENERAL
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD#QUALITY
1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL
1086478:3,"The kitchen however, is almost always slow.",SERVICE#GENERAL
1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",AMBIENCE#GENERAL
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",RESTAURANT#MISCELLANEOUS
1090587:0,Just went here for my girlfriends 23rd bday.,
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,LOCATION#GENERAL
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,SERVICE#GENERAL
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#QUALITY
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#PRICES
1090587:3,The lava cake dessert was incredible and I recommend it.,FOOD#QUALITY
1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",AMBIENCE#GENERAL
1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",AMBIENCE#GENERAL
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#STYLE_OPTIONS
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",FOOD#QUALITY
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",AMBIENCE#GENERAL
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",FOOD#QUALITY
1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",
1118167:1,IT WAS HORRIBLE.,RESTAURANT#GENERAL
1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY
1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,FOOD#QUALITY
1118167:3,It looked like shredded cheese partly done - still in strips.,FOOD#STYLE_OPTIONS
1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,
1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,RESTAURANT#GENERAL
1119578:1,The pizza is overpriced and soggy.,FOOD#QUALITY
1119578:1,The pizza is overpriced and soggy.,FOOD#PRICES
1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY
1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY
1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY
1119578:3,"A big disappointment, all around.",RESTAURANT#GENERAL
1123262:0,I think I've had some the best meals of my life at minnow.,FOOD#QUALITY
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#QUALITY
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",DRINKS#STYLE_OPTIONS
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",FOOD#STYLE_OPTIONS
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,FOOD#QUALITY
1123262:3,Worth the trip from Manhattan.,RESTAURANT#GENERAL
1125006:0,Was there Friday night.,
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,FOOD#QUALITY
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,FOOD#STYLE_OPTIONS
1125006:2,And I've been to many NYC delis.,
1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#STYLE_OPTIONS
1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#QUALITY
1125006:4,Price no more than a Jersey deli but way better.,
1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",RESTAURANT#GENERAL
1125284:1,This place is the most Japanese it can ever get.,RESTAURANT#MISCELLANEOUS
1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",RESTAURANT#MISCELLANEOUS
1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#STYLE_OPTIONS
1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",FOOD#QUALITY
1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",SERVICE#GENERAL
1125284:3,This place is worth an one-hour drive.,RESTAURANT#GENERAL
1125284:4,"I am so coming back here again, as much as I can.",RESTAURANT#GENERAL
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",SERVICE#GENERAL
1126814:2,Sit outside in the warm weather; inside for cozy winter.,
1126814:3,Decent wine at reasonable prices.,DRINKS#QUALITY
1126814:3,Decent wine at reasonable prices.,DRINKS#PRICES
1126814:4,Have been dozens of times and never failed to enjoy the experience.,RESTAURANT#GENERAL
1126814:5,"Our teenage kids love it, too.",RESTAURANT#GENERAL
1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",RESTAURANT#GENERAL
1126886:1,This is by far my favorite place in the neighborhood.,RESTAURANT#GENERAL
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",SERVICE#GENERAL
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",AMBIENCE#GENERAL
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#QUALITY
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",FOOD#STYLE_OPTIONS
1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",
1126886:4,I'm partial to the Gnocchi.,RESTAURANT#GENERAL
1131595:0,This place is incredibly tiny.,RESTAURANT#MISCELLANEOUS
1131595:1,They refuse to seat parties of 3 or more on weekends.,SERVICE#GENERAL
1131595:2,The hostess is rude to the point of being offensive.,SERVICE#GENERAL
1131595:3,The food was bland oily.,FOOD#QUALITY
1131595:4,I just don't understand all the hype...,RESTAURANT#GENERAL
1138996:0,We went to Ino for Valentines.,
1138996:1,"We have been to this place many times, and always have great food, wine, and service.",FOOD#QUALITY
1138996:1,"We have been to this place many times, and always have great food, wine, and service.",DRINKS#QUALITY
1138996:1,"We have been to this place many times, and always have great food, wine, and service.",SERVICE#GENERAL
1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",SERVICE#GENERAL
1138996:3,As always we had a great glass of wine while we waited.,DRINKS#QUALITY
1138996:4,"When we sat, we got great and fast service.",SERVICE#GENERAL
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,SERVICE#GENERAL
1138996:6,Make sure you try this place as often as you can.,RESTAURANT#GENERAL
1145510:0,This is a fun restaurant to go to.,RESTAURANT#GENERAL
1145510:1,The pizza is yummy and I like the atmoshpere.,FOOD#QUALITY
1145510:1,The pizza is yummy and I like the atmoshpere.,AMBIENCE#GENERAL
1145510:2,But the pizza is way to expensive.,FOOD#PRICES
1145510:3,"A large is $20, and toppings are about $3 each.",FOOD#PRICES
1145510:3,"A large is $20, and toppings are about $3 each.",FOOD#PRICES
1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,FOOD#QUALITY
1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY
1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY
1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",
1147082:3,I don't think I would go again.,RESTAURANT#GENERAL
1147211:0,This place is great.,RESTAURANT#GENERAL
1147211:1,I had a huge group for my birthday and we were well taken care of.,SERVICE#GENERAL
1147211:2,The waitress was very patient with us and the food is phenomenal!,SERVICE#GENERAL
1147211:2,The waitress was very patient with us and the food is phenomenal!,FOOD#QUALITY
1147211:3,"Service was prompt, friendly and great.",SERVICE#GENERAL
1147211:4,Slightly on the pricey side but worth it!,RESTAURANT#PRICES
1147211:4,Slightly on the pricey side but worth it!,RESTAURANT#GENERAL
1153034:0,Great pizza and fantastic service.,FOOD#QUALITY
1153034:0,Great pizza and fantastic service.,SERVICE#GENERAL
1153034:1,"There was a small wait, but shorter than I expected.",SERVICE#GENERAL
1153034:2,Located at the end of a magnificent block.,LOCATION#GENERAL
1153034:3,Very cozy and warm inside.....,AMBIENCE#GENERAL
1153034:4,I will be back!,RESTAURANT#GENERAL
1154550:0,This is the best sushi in new york city - hands down.,FOOD#QUALITY
1154550:1,The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL
1154550:1,The place is small and cramped but the food is fantastic.,FOOD#QUALITY
1154550:2,Get the tuna of gari.,FOOD#QUALITY
1154550:3,The one on the east side is much better than the one on the west side.,
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",RESTAURANT#GENERAL
1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS
1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE#GENERAL
1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",RESTAURANT#PRICES
1162037:3,It's all about the food !!,FOOD#QUALITY
1167434:0,I went there with my friend last saturday.,
1167434:1,first it took us a long time to find the place.,RESTAURANT#MISCELLANEOUS
1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",
1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD#STYLE_OPTIONS
1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY
1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY
1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE#GENERAL
1175958:1,"Try the crunchy tuna, it is to die for.",FOOD#QUALITY
1175958:2,"Try everything for that matter, it is all good.",FOOD#QUALITY
1175958:3,I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL
1189674:0,First went here to enjoy their garden terrace.,AMBIENCE#GENERAL
1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD#QUALITY
1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",SERVICE#GENERAL
1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD#STYLE_OPTIONS
1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL
1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL
1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#STYLE_OPTIONS
1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#QUALITY
1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#PRICES
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",FOOD#QUALITY
1189674:6,"Have recommended the place to friends, always gets good response.",RESTAURANT#MISCELLANEOUS
1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY
1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY
1199292:1,Veal Parmigana - Better than Patsy's!,
1199292:2,Much more reasonably priced too!,
1199292:3,I take all my NYC guests to VT's.,RESTAURANT#MISCELLANEOUS
1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL
1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",FOOD#QUALITY
1199480:1,I've been there three times and have always had wonderful experiences.,RESTAURANT#GENERAL
1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE#GENERAL
1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,SERVICE#GENERAL
1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,RESTAURANT#MISCELLANEOUS
1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,RESTAURANT#GENERAL
1205520:1,Even after they overcharged me the last time I was there.,SERVICE#GENERAL
1205520:2,Make sure you have the Spicy Scallop roll.. .,FOOD#QUALITY
1205520:3,it's delicious!,FOOD#QUALITY
1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY
1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY
1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE#GENERAL
1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",SERVICE#GENERAL
1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE#GENERAL
1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#STYLE_OPTIONS
1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#PRICES
1221938:0,The drinks are always welll made and wine selection is fairly priced.,DRINKS#QUALITY
1221938:0,The drinks are always welll made and wine selection is fairly priced.,DRINKS#PRICES
1221938:1,Try their chef's specials-- they are to die for.,FOOD#QUALITY
1221938:2,"Service is not exactly five star, but thats not really a big deal.",SERVICE#GENERAL
1221938:3,Downstairs lounge is always a good attraction,AMBIENCE#GENERAL
1225162:0,"Raga's is a romantic, cozy restaurant.",AMBIENCE#GENERAL
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#STYLE_OPTIONS
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#QUALITY
1225162:2,It is also extremely well priced.,FOOD#PRICES
1225162:3,The staff is incredibly helpful and attentive.,SERVICE#GENERAL
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,DRINKS#PRICES
1225162:5,This is one of my favorite restaurants and it is not to be missed.,RESTAURANT#GENERAL
1225162:6,Your friends will thank you for introducing them to this gem!,RESTAURANT#GENERAL
1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT#GENERAL
1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE#GENERAL
1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",SERVICE#GENERAL
1227999:3,Such a disappointment...,SERVICE#GENERAL
1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE#GENERAL
1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",FOOD#QUALITY
1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",RESTAURANT#GENERAL
1230993:0,I had a grat time at Jekyll and Hyde!,RESTAURANT#GENERAL
1230993:1,I loved everythig about it-especially the shows and actors.,RESTAURANT#GENERAL
1230993:1,I loved everythig about it-especially the shows and actors.,AMBIENCE#GENERAL
1230993:1,I loved everythig about it-especially the shows and actors.,AMBIENCE#GENERAL
1230993:2,Our server was very helpful and friendly.,SERVICE#GENERAL
1230993:3,I am bringing my whole family back next time.,RESTAURANT#MISCELLANEOUS
1230993:4,The food was good too.,FOOD#QUALITY
1232468:0,The tuna and wasabe potatoes are excellent.,FOOD#QUALITY
1232468:0,The tuna and wasabe potatoes are excellent.,FOOD#QUALITY
1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,LOCATION#GENERAL
1232468:2,"Inside is a little cramped, but to be expected.",AMBIENCE#GENERAL
1232468:3,Service was prompt and courteous.,SERVICE#GENERAL
1232468:4,This was a repeat visit and we'll definitely be back again.,RESTAURANT#GENERAL
1241906:0,"Great service, great food.",SERVICE#GENERAL
1241906:0,"Great service, great food.",FOOD#QUALITY
1241906:1,Prices are in line.,RESTAURANT#PRICES
